2025-02-15 16:51:52 startup archives unpack
2025-02-15 16:51:52 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2025-02-15 16:51:52 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2025-02-15 16:51:52 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2025-02-15 16:51:52 upgrade libc6:i386 2.28-10+deb10u3 2.28-10+deb10u4
2025-02-15 16:51:52 status triggers-pending libc-bin:i386 2.28-10+deb10u3
2025-02-15 16:51:52 status half-configured libc6:i386 2.28-10+deb10u3
2025-02-15 16:51:52 status unpacked libc6:i386 2.28-10+deb10u3
2025-02-15 16:51:52 status half-installed libc6:i386 2.28-10+deb10u3
2025-02-15 16:51:53 status unpacked libc6:i386 2.28-10+deb10u4
2025-02-15 16:51:53 startup packages configure
2025-02-15 16:51:53 configure libc6:i386 2.28-10+deb10u4 <none>
2025-02-15 16:51:53 status unpacked libc6:i386 2.28-10+deb10u4
2025-02-15 16:51:53 status half-configured libc6:i386 2.28-10+deb10u4
2025-02-15 16:51:54 status installed libc6:i386 2.28-10+deb10u4
2025-02-15 16:51:54 startup archives unpack
2025-02-15 16:51:54 install libgdbm6:i386 <none> 1.18.1-4
2025-02-15 16:51:54 status half-installed libgdbm6:i386 1.18.1-4
2025-02-15 16:51:54 status unpacked libgdbm6:i386 1.18.1-4
2025-02-15 16:51:54 install libgdbm-compat4:i386 <none> 1.18.1-4
2025-02-15 16:51:54 status half-installed libgdbm-compat4:i386 1.18.1-4
2025-02-15 16:51:54 status unpacked libgdbm-compat4:i386 1.18.1-4
2025-02-15 16:51:54 install libperl5.28:i386 <none> 5.28.1-6+deb10u1
2025-02-15 16:51:54 status half-installed libperl5.28:i386 5.28.1-6+deb10u1
2025-02-15 16:51:54 status unpacked libperl5.28:i386 5.28.1-6+deb10u1
2025-02-15 16:51:54 install perl:i386 <none> 5.28.1-6+deb10u1
2025-02-15 16:51:54 status half-installed perl:i386 5.28.1-6+deb10u1
2025-02-15 16:51:54 status unpacked perl:i386 5.28.1-6+deb10u1
2025-02-15 16:51:54 install liblocale-gettext-perl:i386 <none> 1.07-3+b4
2025-02-15 16:51:54 status half-installed liblocale-gettext-perl:i386 1.07-3+b4
2025-02-15 16:51:54 status unpacked liblocale-gettext-perl:i386 1.07-3+b4
2025-02-15 16:51:54 install libssl1.1:i386 <none> 1.1.1n-0+deb10u6
2025-02-15 16:51:54 status half-installed libssl1.1:i386 1.1.1n-0+deb10u6
2025-02-15 16:51:54 status unpacked libssl1.1:i386 1.1.1n-0+deb10u6
2025-02-15 16:51:54 install libpython3.7-minimal:i386 <none> 3.7.3-2+deb10u7
2025-02-15 16:51:54 status half-installed libpython3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 status unpacked libpython3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 install libexpat1:i386 <none> 2.2.6-2+deb10u7
2025-02-15 16:51:54 status half-installed libexpat1:i386 2.2.6-2+deb10u7
2025-02-15 16:51:54 status unpacked libexpat1:i386 2.2.6-2+deb10u7
2025-02-15 16:51:54 install python3.7-minimal:i386 <none> 3.7.3-2+deb10u7
2025-02-15 16:51:54 status half-installed python3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 status unpacked python3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 startup packages configure
2025-02-15 16:51:54 configure libssl1.1:i386 1.1.1n-0+deb10u6 <none>
2025-02-15 16:51:54 status unpacked libssl1.1:i386 1.1.1n-0+deb10u6
2025-02-15 16:51:54 status half-configured libssl1.1:i386 1.1.1n-0+deb10u6
2025-02-15 16:51:54 status installed libssl1.1:i386 1.1.1n-0+deb10u6
2025-02-15 16:51:54 configure libpython3.7-minimal:i386 3.7.3-2+deb10u7 <none>
2025-02-15 16:51:54 status unpacked libpython3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 status half-configured libpython3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 status installed libpython3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 configure libexpat1:i386 2.2.6-2+deb10u7 <none>
2025-02-15 16:51:54 status unpacked libexpat1:i386 2.2.6-2+deb10u7
2025-02-15 16:51:54 status half-configured libexpat1:i386 2.2.6-2+deb10u7
2025-02-15 16:51:54 status installed libexpat1:i386 2.2.6-2+deb10u7
2025-02-15 16:51:54 configure python3.7-minimal:i386 3.7.3-2+deb10u7 <none>
2025-02-15 16:51:54 status unpacked python3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:54 status half-configured python3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:55 status installed python3.7-minimal:i386 3.7.3-2+deb10u7
2025-02-15 16:51:55 startup archives unpack
